Scheme Name       : start_scheme
Scheme lnL        : -23172911.1529
Scheme AICc       : 46388725.7469
Number of params  : 20870
Number of sites   : 769646
Number of subsets : 3102

Subset | Best Model | Subset Partitions              | Subset Sites                   | Alignment                               
1848   | LG+G       | EOG091E054E                    | 462532-462714                  | ./analysis/phylofiles/5379c29d35a06993254dee1b38058c55.phy
1849   | LG+G       | EOG091E019R                    | 462715-462869                  | ./analysis/phylofiles/b12f716ef8f7552a58f8fd12ea673006.phy
1850   | JTT+G      | EOG091E0312                    | 462870-463017                  | ./analysis/phylofiles/60486814ec2b69a924001c8169dc1b52.phy
1851   | LG+G       | EOG091E051Q                    | 463018-463431                  | ./analysis/phylofiles/79d2f2fe6b4c7911bbb75fc2ffd159b9.phy
1852   | LG+G       | EOG091E03WA                    | 463432-463552                  | ./analysis/phylofiles/9927fd649c33f7aede74017a459d2dfd.phy
1853   | JTT+G      | EOG091E03H0                    | 463553-463672                  | ./analysis/phylofiles/8d6265101236073858181c399b83e450.phy
1854   | LG+G+F     | EOG091E012S                    | 463673-463913                  | ./analysis/phylofiles/e103b96a96427822e6155c78ca94737a.phy
1855   | LG+G       | EOG091E049V                    | 463914-464196                  | ./analysis/phylofiles/1cd0bd945bb647313b589ea3b318a1d7.phy
1856   | LG+G       | EOG091E00JY                    | 464197-464626                  | ./analysis/phylofiles/a582d32eb1b919c3718d22f18badbcbd.phy
1857   | LG+I+G     | EOG091E01WJ                    | 464627-464975                  | ./analysis/phylofiles/d6bb5e87b1e9946c1d38bbaeefba5680.phy
1858   | LG+G       | EOG091E00XW                    | 464976-465320                  | ./analysis/phylofiles/1d44817980a26803e1fb034bed4b5a47.phy
1859   | LG+I+G+F   | EOG091E01FQ                    | 465321-465707                  | ./analysis/phylofiles/1ad63e61fce574e1485761ec78785fce.phy
1860   | LG+I+G     | EOG091E03XP                    | 465708-465784                  | ./analysis/phylofiles/4ef15b3cda3459792812dadb7d70a25f.phy
1861   | LG+I+G     | EOG091E036W                    | 465785-465987                  | ./analysis/phylofiles/67f34223bec8dfdc8b86cad143f6515d.phy
1862   | LG+I+G     | EOG091E03H7                    | 465988-466136                  | ./analysis/phylofiles/5a2bffba7336690a0ee76aed945bef20.phy
1863   | LG+G+F     | EOG091E03K8                    | 466137-466334                  | ./analysis/phylofiles/0952dd5a5d87512f5c0d470e94346201.phy
1864   | JTT+I+G    | EOG091E05BT                    | 466335-466458                  | ./analysis/phylofiles/7f12ccb3f7d5b3a27a3d61cdf7d84962.phy
1865   | LG+G       | EOG091E0278                    | 466459-466660                  | ./analysis/phylofiles/f9cbc4073b06b33fa42dc282a4b606e1.phy
1866   | RTREV+G    | EOG091E0021                    | 466661-466713                  | ./analysis/phylofiles/be88ac813bd202b874ccbb996587375d.phy
1867   | LG+I+G+F   | EOG091E0314                    | 466714-466957                  | ./analysis/phylofiles/4c2606ef66ad17b4751cfc36a87c2908.phy
1868   | LG+I+G+F   | EOG091E04FN                    | 466958-467371                  | ./analysis/phylofiles/b73cb26dd69670f00009d409d7915a27.phy
1869   | LG+I+G     | EOG091E01GB                    | 467372-467628                  | ./analysis/phylofiles/feaff63c254d62212038bcdbc9defc7e.phy
1870   | LG+G       | EOG091E02K8                    | 467629-467817                  | ./analysis/phylofiles/060d8ce10722cadda2fe1894718c7f97.phy
1871   | LG+I+G     | EOG091E01R6                    | 467818-468138                  | ./analysis/phylofiles/bcb26d11f59afa800c1744d6005a2cb4.phy
1872   | JTT+G      | EOG091E02DD                    | 468139-468322                  | ./analysis/phylofiles/fe94a3860278a1e3b97cb4c06b0b211d.phy
1873   | LG+G       | EOG091E02M6                    | 468323-468534                  | ./analysis/phylofiles/7af175ccc203a7ca4d02af306628a73c.phy
1874   | JTT+G+F    | EOG091E00NY                    | 468535-468754                  | ./analysis/phylofiles/7b47c7fe08eab69e69bbee8c6b7f27c1.phy
1875   | JTT+I+G+F  | EOG091E02DU                    | 468755-469131                  | ./analysis/phylofiles/04ee537b1147300d7c4d85dea24a0615.phy
1876   | LG+I+G     | EOG091E0397                    | 469132-469314                  | ./analysis/phylofiles/82e0edccc065cde83faae320f5b555df.phy
1877   | LG+G       | EOG091E03X7                    | 469315-469361                  | ./analysis/phylofiles/d7db6650f8fda301731ef5b42ce018a3.phy
1878   | LG+G       | EOG091E028B                    | 469362-469631                  | ./analysis/phylofiles/e01e04a2aff88e9a5d404d9b61b39285.phy
1879   | LG+I+G     | EOG091E00Z2                    | 469632-469874                  | ./analysis/phylofiles/7a536d05dbfa43221b7d955377f14107.phy
1880   | LG+I+G     | EOG091E00NX                    | 469875-470479                  | ./analysis/phylofiles/dfa3c27842e2fc94b589813dc377f8af.phy
1881   | LG+G       | EOG091E01TP                    | 470480-470798                  | ./analysis/phylofiles/1ca8e21881f7936c6580b67281455f42.phy
1882   | JTT+G      | EOG091E02DR                    | 470799-471025                  | ./analysis/phylofiles/66e8ccb8726417a417cbe0d05966b8ca.phy
1883   | JTT+G      | EOG091E03FH                    | 471026-471136                  | ./analysis/phylofiles/efe99bf2eb722643e89bf9ae0e03c1c8.phy
1884   | JTT+I+G    | EOG091E02WE                    | 471137-471295                  | ./analysis/phylofiles/6e5279a70c08d967fc8afcfc86bac2f6.phy
1885   | LG+I+G+F   | EOG091E02SK                    | 471296-471571                  | ./analysis/phylofiles/aac6b893366da6d3a546cd3c5c36fce1.phy
1886   | LG+G       | EOG091E02AI                    | 471572-471861                  | ./analysis/phylofiles/87f4c0761007fda18ae6bcacae6e0f27.phy
1887   | WAG+G      | EOG091E0396                    | 471862-472007                  | ./analysis/phylofiles/8684caec52949d97080097deefec192f.phy
1888   | LG+I+G     | EOG091E038E                    | 472008-472169                  | ./analysis/phylofiles/04db0032932318ef5111ef4196ba5a7e.phy
1889   | LG+G       | EOG091E02V1                    | 472170-472353                  | ./analysis/phylofiles/00102ccf7a753f39aa154bae6e63affe.phy
1890   | LG+I+G     | EOG091E02AY                    | 472354-472599                  | ./analysis/phylofiles/308316001cd93a1b4f0719a0660dca88.phy
1891   | LG+I+G     | EOG091E01Y7                    | 472600-472971                  | ./analysis/phylofiles/21bff73e4db2604851191b658a2957c1.phy
1892   | LG+I+G     | EOG091E02BV                    | 472972-473188                  | ./analysis/phylofiles/8d58ed448ea22915018c07f9afcf70b6.phy
1893   | LG+G       | EOG091E00R6                    | 473189-473304                  | ./analysis/phylofiles/02d05abcad66e6b38c08aa5068d22e58.phy
1894   | LG+G+F     | EOG091E01E6                    | 473305-473560                  | ./analysis/phylofiles/08eca1d3123ccd54eec677e1e99017a2.phy
1895   | LG+I+G     | EOG091E01TC                    | 473561-473897                  | ./analysis/phylofiles/9a42497608661c217c2ab8fae7f9c7d8.phy
1896   | LG+I+G     | EOG091E03IK                    | 473898-474373                  | ./analysis/phylofiles/51d986ae6b0cfa4004841bdcc9c3bd62.phy
1897   | LG+G       | EOG091E00PE                    | 474374-474451                  | ./analysis/phylofiles/f4514064cfbaace4735c0df40c60ea05.phy
1898   | LG+G       | EOG091E05W0                    | 474452-474525                  | ./analysis/phylofiles/cf4d6f43b2719d583ac5b73702bbc26f.phy
1899   | JTT+G+F    | EOG091E01PE                    | 474526-474876                  | ./analysis/phylofiles/3f1134964312787239841cd612d219e8.phy
1900   | LG+G+F     | EOG091E01VX                    | 474877-475193                  | ./analysis/phylofiles/df638ccda69209ac8f35c3c7887f26fb.phy
1901   | LG+G       | EOG091E009A                    | 475194-475344                  | ./analysis/phylofiles/29361ae3e244c5af54d6cf74a70177ef.phy
1902   | LG+I+G     | EOG091E02EN                    | 475345-475556                  | ./analysis/phylofiles/4c76fda0961639d5b5bc0bd64901be6c.phy
1903   | LG+G       | EOG091E012F                    | 475557-475769                  | ./analysis/phylofiles/bd113c27dee67765172707a13a29d2f2.phy
1904   | LG+G       | EOG091E02GM                    | 475770-476040                  | ./analysis/phylofiles/6408cd5e4f064811635fdd38dc36e631.phy
1905   | LG+G       | EOG091E02H0                    | 476041-476275                  | ./analysis/phylofiles/927a8be21893055c69f73591b79f508d.phy
1906   | JTT+G      | EOG091E02XO                    | 476276-476459                  | ./analysis/phylofiles/722f8e774d03a49e8f250c8ec1c52e27.phy
1907   | LG+G       | EOG091E018S                    | 476460-476757                  | ./analysis/phylofiles/fd646a1c47ea263581bd0cf6c9bb59bd.phy
1908   | LG+G+F     | EOG091E01RW                    | 476758-477086                  | ./analysis/phylofiles/14fa9834e810c52fa8ae48130a06cf94.phy
1909   | JTT+I+G+F  | EOG091E03NS                    | 477087-477224                  | ./analysis/phylofiles/ae582daff895e1dc1e5f2593bce09ba2.phy
1910   | LG+G       | EOG091E062Y                    | 477225-477352                  | ./analysis/phylofiles/6dd61654d4b7f7776d1049c869a61fe1.phy
1911   | JTT+I+G    | EOG091E03F5                    | 477353-477549                  | ./analysis/phylofiles/945c64c3d3984ec79edec7b9d21a1ef9.phy
1912   | JTT+G      | EOG091E01VJ                    | 477550-477816                  | ./analysis/phylofiles/5a15e4edcef79ac35beb5594a55c5c3c.phy
1913   | LG+G       | EOG091E032G                    | 477817-477988                  | ./analysis/phylofiles/c7bf1d9b44b5300b25119a2ce9eeeaf0.phy
1914   | LG+G       | EOG091E01D4                    | 477989-478029                  | ./analysis/phylofiles/cd0921c93ba073e5f7cc28ed61585010.phy
1915   | LG+G       | EOG091E02L1                    | 478030-478226                  | ./analysis/phylofiles/d3768d510821a03969ae5ef152b91380.phy
1916   | LG+I+G+F   | EOG091E02D1                    | 478227-478520                  | ./analysis/phylofiles/5e5ea95118227656f7efa4b6961fe258.phy
1917   | LG+I+G     | EOG091E03K5                    | 478521-478725                  | ./analysis/phylofiles/d688f2e73b719784fce84cb952b37d96.phy
1918   | DAYHOFF+G  | EOG091E005D                    | 478726-478910                  | ./analysis/phylofiles/ff5a577b584c39b2445d531d27c6ecf8.phy
1919   | JTT+G      | EOG091E03RW                    | 478911-479098                  | ./analysis/phylofiles/1c6e0ef2eec48ecb7decbb564a46b271.phy
1920   | JTT+G      | EOG091E01X0                    | 479099-479492                  | ./analysis/phylofiles/bc91ebbfb7055478392adfa5d47de617.phy
1921   | DAYHOFF+G  | EOG091E0321                    | 479493-479731                  | ./analysis/phylofiles/b930fc9c62ff4b108476bf46dde33304.phy
1922   | LG+G       | EOG091E00LY                    | 479732-479869                  | ./analysis/phylofiles/243852bbcf91af3f00a9770b1b0b256f.phy
1923   | LG+G       | EOG091E01BN                    | 479870-480046                  | ./analysis/phylofiles/cba9315353543d7638b6494a96d922ea.phy
1924   | LG+G       | EOG091E0605                    | 480047-480307                  | ./analysis/phylofiles/ac2f8a974d05870b9e8055eea0e0f206.phy
1925   | JTT+I+G+F  | EOG091E00NO                    | 480308-480620                  | ./analysis/phylofiles/45580c7bfb229a496af91fc1c88abf95.phy
1926   | LG+I+G     | EOG091E03XU                    | 480621-480705                  | ./analysis/phylofiles/7fc7a2af8c58d29806ebe7842c9eb348.phy
1927   | LG+G+F     | EOG091E04H9                    | 480706-480967                  | ./analysis/phylofiles/0f6acdaed2a1bea5cd5cc6b1ae2180f0.phy
1928   | LG+I+G     | EOG091E01TR                    | 480968-481376                  | ./analysis/phylofiles/3ad7a6064823df301d26906f64039ffb.phy
1929   | LG+G       | EOG091E02FC                    | 481377-481446                  | ./analysis/phylofiles/efc888832d2d8341dc4898f1959c8c19.phy
1930   | LG+G       | EOG091E04ZX                    | 481447-481498                  | ./analysis/phylofiles/dcafdfc88e6c34b88db66171443d256e.phy
1931   | LG+I+G     | EOG091E03U9                    | 481499-481635                  | ./analysis/phylofiles/ba472c1686346e2815d112314dc30fbe.phy
1932   | JTT+G+F    | EOG091E01TB                    | 481636-481878                  | ./analysis/phylofiles/91c6e9c74184dbf3f11a4e0e70be825a.phy
1933   | JTT+G      | EOG091E05JY                    | 481879-482066                  | ./analysis/phylofiles/524c01669328635a62e0348fa046c5f5.phy
1934   | LG+I+G+F   | EOG091E03NQ                    | 482067-482213                  | ./analysis/phylofiles/b6a77e1e40826a7b536774849587e791.phy
1935   | LG+I+G     | EOG091E03KS                    | 482214-482310                  | ./analysis/phylofiles/8b9f6a0f1b65456f6c5b898d1bfcf175.phy
1936   | LG+G       | EOG091E01K0                    | 482311-482648                  | ./analysis/phylofiles/d4a4bced6e373c0f79851301c88cbc8c.phy
1937   | LG+G       | EOG091E01SK                    | 482649-482955                  | ./analysis/phylofiles/27595cd60065383ca24cb545920d0634.phy
1938   | LG+G       | EOG091E03OF                    | 482956-483096                  | ./analysis/phylofiles/c5b398c71d0d0e581c7834dba62fcb51.phy
1939   | LG+G       | EOG091E01LB                    | 483097-483337                  | ./analysis/phylofiles/d48f039557c05735c02ca8628514c6ee.phy
1940   | JTT+G+F    | EOG091E008F                    | 483338-483953                  | ./analysis/phylofiles/2599367222567768b386147c0dcfa391.phy
1941   | WAG+G      | EOG091E02ND                    | 483954-484049                  | ./analysis/phylofiles/9ed331bb4a0a4638c424cbb2db8473b9.phy
1942   | LG+I+G+F   | EOG091E04E7                    | 484050-484502                  | ./analysis/phylofiles/133b251ef41dd7b70f82f93b1f645baa.phy
1943   | JTT+G      | EOG091E02L3                    | 484503-484693                  | ./analysis/phylofiles/39814924a6591cd933b421ed67f6bf29.phy
1944   | JTT+G      | EOG091E03LH                    | 484694-484859                  | ./analysis/phylofiles/d41cf012224d8653eaa439aeb9d78f34.phy
1945   | LG+G       | EOG091E03P6                    | 484860-484952                  | ./analysis/phylofiles/841c174fc92c4bc20fc47899466d2aee.phy
1946   | LG+G       | EOG091E03XD                    | 484953-485050                  | ./analysis/phylofiles/5919aed2ae3f71dff271d1ddeca4c791.phy
1947   | LG+G       | EOG091E05EG                    | 485051-485085                  | ./analysis/phylofiles/b0e200d169ac68cf14cc44b0d2022016.phy
1948   | LG+G       | EOG091E038V                    | 485086-485274                  | ./analysis/phylofiles/e8b6df7151b0498e04ab16d4fba0e6d4.phy
1949   | LG+G       | EOG091E03RC                    | 485275-485379                  | ./analysis/phylofiles/ec957d4b5578b413bc04f589894899e2.phy
1950   | LG+G+F     | EOG091E028C                    | 485380-485558                  | ./analysis/phylofiles/1e70fbd26471f39fcece8a269c254844.phy
1951   | LG+I+G+F   | EOG091E01AZ                    | 485559-485973                  | ./analysis/phylofiles/25259fc3e470616313101a0c0335cae4.phy
1952   | LG+G       | EOG091E051V                    | 485974-486181                  | ./analysis/phylofiles/1f09877b4a502401ea0f3f9d044930cd.phy
1953   | LG+G+F     | EOG091E04UT                    | 486182-486400                  | ./analysis/phylofiles/275c5ab326983de42e4b51f15242f0ba.phy
1954   | LG+G       | EOG091E00TQ                    | 486401-486517                  | ./analysis/phylofiles/c57a4d2694669dcfbf8fce3c63b80ccd.phy
1955   | LG+G       | EOG091E010Q                    | 486518-486678                  | ./analysis/phylofiles/c29d683f9119fad959eb8fab62b4c304.phy
1956   | LG+G       | EOG091E00U6                    | 486679-486732                  | ./analysis/phylofiles/127a6922cee8fefd8737e012bf671191.phy
1957   | VT+G       | EOG091E002S                    | 486733-486808                  | ./analysis/phylofiles/115051a77f704c9f484aa031558a0126.phy
1958   | JTT+G      | EOG091E03SO                    | 486809-486920                  | ./analysis/phylofiles/3b4d4b2870f314af11eefb79d3dd2cb6.phy
1959   | LG+G       | EOG091E04L5                    | 486921-487180                  | ./analysis/phylofiles/fb9d09afc97072ac83d7994e1bd2ab99.phy
1960   | VT+G+F     | EOG091E03WQ                    | 487181-487349                  | ./analysis/phylofiles/c8fd4ebc7f10f1d8ea7dffe3163ad25d.phy
1961   | LG+G       | EOG091E00J8                    | 487350-487393                  | ./analysis/phylofiles/5cf8a85e1c6198858c3180bf06312906.phy
1962   | JTT+I+G+F  | EOG091E054P                    | 487394-487581                  | ./analysis/phylofiles/572e83f2fe99a4dd146cde3c6f31b02e.phy
1963   | CPREV+G+F  | EOG091E027Y                    | 487582-487837                  | ./analysis/phylofiles/692689fdfc65d730e495c7db006b708d.phy
1964   | LG+G       | EOG091E02OC                    | 487838-487993                  | ./analysis/phylofiles/e9d4e66a7dd239fe9b01120b654e44d4.phy
1965   | LG+G+F     | EOG091E02IO                    | 487994-488302                  | ./analysis/phylofiles/8c319603f728cfb057aaa83b7c1e5e71.phy
1966   | LG+I+G+F   | EOG091E00CE                    | 488303-489021                  | ./analysis/phylofiles/0880add5c607eaafbd6fb011e279fa8d.phy
1967   | LG+G       | EOG091E012Z                    | 489022-489556                  | ./analysis/phylofiles/5a0cebd8a706034be852939f153c3200.phy
1968   | LG+G       | EOG091E00AP                    | 489557-489979                  | ./analysis/phylofiles/e44a6bd4da76238e963f8cf22fb6ec60.phy
1969   | LG+G+F     | EOG091E0101                    | 489980-490381                  | ./analysis/phylofiles/3812b8fc7c15f4f0338375982e73b1d7.phy
1970   | LG+G+F     | EOG091E00ZA                    | 490382-490718                  | ./analysis/phylofiles/67c90eda38e63514c028e6812ccff6d5.phy
1971   | JTT+G+F    | EOG091E024K                    | 490719-490938                  | ./analysis/phylofiles/7ae4bf347b723d4c550ac00709e818b9.phy
1972   | LG+G       | EOG091E01V8                    | 490939-491116                  | ./analysis/phylofiles/67e42d63f002c3b123fe940107a582d1.phy
1973   | JTT+G      | EOG091E04JF                    | 491117-491336                  | ./analysis/phylofiles/e90c6b964a388ac7bd32c982ba290f71.phy
1974   | LG+I+G     | EOG091E02LB                    | 491337-491671                  | ./analysis/phylofiles/b75ae6790e02b2cee614a06c2dc154f1.phy
1975   | JTT+G      | EOG091E018H                    | 491672-492095                  | ./analysis/phylofiles/a2ab01e10685d3ebe0aa344da45f52ed.phy
1976   | LG+G       | EOG091E03XH                    | 492096-492178                  | ./analysis/phylofiles/ee15c00c614a1ca674d4da5471e4098f.phy
1977   | VT+G       | EOG091E00NG                    | 492179-492434                  | ./analysis/phylofiles/5fc1990870256c6d85e592de57c84cfc.phy
1978   | LG+G       | EOG091E02IB                    | 492435-492705                  | ./analysis/phylofiles/eccbed391381b9611720d9e973f2c3fc.phy
1979   | LG+G       | EOG091E025G                    | 492706-493012                  | ./analysis/phylofiles/4bfae7f7c2eba71afc54baf729d7b577.phy
1980   | LG+I+G     | EOG091E03QZ                    | 493013-493122                  | ./analysis/phylofiles/45dfe08d4edfcc019b3983336de2ae15.phy
1981   | LG+I+G     | EOG091E02EY                    | 493123-493399                  | ./analysis/phylofiles/15627eb5c231a145a85f0397381c84ee.phy
1982   | LG+G       | EOG091E05GB                    | 493400-493533                  | ./analysis/phylofiles/3c1ab78ea7d15f6a0864a639638a09b7.phy
1983   | JTT+G      | EOG091E01E9                    | 493534-493773                  | ./analysis/phylofiles/adf4b425d4f5f250d440ee76b80acb5b.phy
1984   | LG+G       | EOG091E01Q9                    | 493774-494152                  | ./analysis/phylofiles/d63ecbdc711122d4ad3d7286dc1df36d.phy
1985   | LG+G       | EOG091E0269                    | 494153-494328                  | ./analysis/phylofiles/2788eb3ad0811d34e19cb345e0521ed7.phy
1986   | LG+G+F     | EOG091E051B                    | 494329-494613                  | ./analysis/phylofiles/08fbfbe8858cbd012cca74b6e0a60543.phy
1987   | JTT+G      | EOG091E00O2                    | 494614-494862                  | ./analysis/phylofiles/b2b27edc9fc31c37fe558a230cc418da.phy
1988   | LG+I+G     | EOG091E01F6                    | 494863-495188                  | ./analysis/phylofiles/3eb0d05957932c4bb05534a315d68dd8.phy
1989   | LG+G       | EOG091E02O7                    | 495189-495489                  | ./analysis/phylofiles/eac718bf1dd6d901478d25f352c70602.phy
1990   | LG+G       | EOG091E00C7                    | 495490-496096                  | ./analysis/phylofiles/3ec7f1aa98ac0ea99b3a89fe9bb0ed01.phy
1991   | CPREV+G+F  | EOG091E01RB                    | 496097-496380                  | ./analysis/phylofiles/70350d10fc27a69bdc29234e7d108176.phy
1992   | LG+I+G     | EOG091E02WW                    | 496381-496522                  | ./analysis/phylofiles/5e3ed196a2ea7e248864de5d61f8903e.phy
1993   | JTT+G      | EOG091E03UF                    | 496523-496601                  | ./analysis/phylofiles/85e55cee8e608fe979bba3884dad5a5f.phy
1994   | LG+G       | EOG091E02MS                    | 496602-496825                  | ./analysis/phylofiles/ba957f2a5410ea1998e1605f5883f73b.phy
1995   | VT+G       | EOG091E02OJ                    | 496826-496896                  | ./analysis/phylofiles/2c76507d33b3089b66492b9cb12fbb9b.phy
1996   | LG+I+G     | EOG091E032N                    | 496897-497148                  | ./analysis/phylofiles/0453b95c552213437b81641e1fb8d4a4.phy
1997   | LG+I+G     | EOG091E02VC                    | 497149-497423                  | ./analysis/phylofiles/d8089ece2c61d037455ba6f5c01de7fe.phy
1998   | LG+I+G+F   | EOG091E033K                    | 497424-497597                  | ./analysis/phylofiles/484fb60ae80438c12fda725c90f4f3cf.phy
1999   | LG+I+G     | EOG091E03XF                    | 497598-497678                  | ./analysis/phylofiles/c545fa32a8717a7a99a6a75ebcbe5dd8.phy
2000   | LG+G       | EOG091E01X1                    | 497679-497790                  | ./analysis/phylofiles/e3a7aacaf04dc0bceca6742885dd0dc1.phy
2001   | JTT+G      | EOG091E01HI                    | 497791-498106                  | ./analysis/phylofiles/d670157ac62693753fe97280c677647f.phy
2002   | LG+G+F     | EOG091E01FO                    | 498107-498631                  | ./analysis/phylofiles/2ebb180d3b5fe7bce261ed4c17c59107.phy
2003   | LG+I+G     | EOG091E03UE                    | 498632-498745                  | ./analysis/phylofiles/248cea41692fbc234bd78d3187cf82ee.phy
2004   | LG+G       | EOG091E02OZ                    | 498746-498878                  | ./analysis/phylofiles/829f721312e7fed81cb2b7ce3e3beef8.phy
2005   | LG+G       | EOG091E00SS                    | 498879-499496                  | ./analysis/phylofiles/d957c6980a5e6ada48ed137919d20b5e.phy
2006   | LG+I+G     | EOG091E03WK                    | 499497-499620                  | ./analysis/phylofiles/e5e0a3b180fb769e942541ebc4e7ff5f.phy
2007   | JTT+G+F    | EOG091E04GC                    | 499621-499924                  | ./analysis/phylofiles/6a99263efe1aa4a38a5cc8732d9d82b1.phy
2008   | LG+G       | EOG091E02JV                    | 499925-500125                  | ./analysis/phylofiles/c08b257656b6791ab4f0aaff95f0e098.phy
2009   | JTT+G      | EOG091E02PP                    | 500126-500273                  | ./analysis/phylofiles/d978d5303dfc281897ceb386024c797f.phy
2010   | LG+G       | EOG091E00GG                    | 500274-500588                  | ./analysis/phylofiles/85305f333524a75f70d3d12381ccd7b3.phy
2011   | LG+G       | EOG091E05ZV                    | 500589-500688                  | ./analysis/phylofiles/25e092b187c131df205a3e8a8d1f5ac6.phy
2012   | LG+I+G     | EOG091E059D                    | 500689-500797                  | ./analysis/phylofiles/382aba20680f0a2ad888274d1fc554ba.phy
2013   | LG+G       | EOG091E00CF                    | 500798-500912                  | ./analysis/phylofiles/507b34a2d6efe2d66f61e934d28596b5.phy
2014   | LG+G+F     | EOG091E04NL                    | 500913-501234                  | ./analysis/phylofiles/d79ee3a2e141a1f072ff745df275c953.phy
2015   | LG+G       | EOG091E044H                    | 501235-501721                  | ./analysis/phylofiles/469cbfd0d567096d7e9905f3e3f0939e.phy
2016   | LG+I+G     | EOG091E02JU                    | 501722-501974                  | ./analysis/phylofiles/c5a4bba3b815a5c97e92de28579d1d16.phy
2017   | JTT+G+F    | EOG091E04MR                    | 501975-502245                  | ./analysis/phylofiles/df1c072686d17642c979f354631cc558.phy
2018   | LG+G       | EOG091E01E4                    | 502246-502322                  | ./analysis/phylofiles/8f35881444b90ac500f9691855932ec3.phy
2019   | LG+G       | EOG091E015A                    | 502323-502562                  | ./analysis/phylofiles/dac8c89003c7a610a526052c40c348ef.phy
2020   | JTT+G      | EOG091E00ZO                    | 502563-503106                  | ./analysis/phylofiles/bc0632686aed113bf8a5fe84c15303e9.phy
2021   | LG+G       | EOG091E02JJ                    | 503107-503222                  | ./analysis/phylofiles/8304c6ac2e0bbf0e118aeca740825d46.phy
2022   | LG+G       | EOG091E02TP                    | 503223-503527                  | ./analysis/phylofiles/c7840001a02707ea7c922a4ad4796d7a.phy
2023   | LG+G       | EOG091E03A1                    | 503528-503683                  | ./analysis/phylofiles/e4b7c0365c1dfe72418583c3cc627728.phy
2024   | JTT+G      | EOG091E03HR                    | 503684-503896                  | ./analysis/phylofiles/cc47c878d0239cc4289d1f08973da815.phy
2025   | JTT+G      | EOG091E03SS                    | 503897-503991                  | ./analysis/phylofiles/8302ead07c6e2333b42edd47e0d2f164.phy
2026   | LG+I+G+F   | EOG091E034K                    | 503992-504174                  | ./analysis/phylofiles/565f7926d1e84d2a595be6b20db3aa5a.phy
2027   | LG+G       | EOG091E02J1                    | 504175-504419                  | ./analysis/phylofiles/7cc44669ea143c71ea45081a13c92b5b.phy
2028   | LG+G+F     | EOG091E02FJ                    | 504420-504646                  | ./analysis/phylofiles/e77c2830092c7c6166cbfe570ac31569.phy
2029   | LG+G       | EOG091E01U6                    | 504647-504739                  | ./analysis/phylofiles/4d16858a869ad0159e063866282d04be.phy
2030   | LG+G+F     | EOG091E02MF                    | 504740-504916                  | ./analysis/phylofiles/933820d8b7c058c5b2e31455268ad7f0.phy
2031   | LG+G       | EOG091E04J7                    | 504917-505256                  | ./analysis/phylofiles/067e3f421ea15262fe715a8845f2e097.phy
2032   | JTT+G+F    | EOG091E00JM                    | 505257-505607                  | ./analysis/phylofiles/b12e8dfb13a9ee00d7d362cbefe4ba99.phy
2033   | LG+I+G     | EOG091E011R                    | 505608-505913                  | ./analysis/phylofiles/b69ad9b4cfca65f0b5df45e782dd1d12.phy
2034   | VT+G       | EOG091E0209                    | 505914-506032                  | ./analysis/phylofiles/6585882eda3d55d2a4520688fb8d9733.phy
2035   | LG+G       | EOG091E01VD                    | 506033-506234                  | ./analysis/phylofiles/8f7ba06fe9d65c6442620d4f902f90c8.phy
2036   | LG+G       | EOG091E04JB                    | 506235-506557                  | ./analysis/phylofiles/5fbe37d139b1ef3b0eafd41d6d0923bf.phy
2037   | LG+G       | EOG091E05E5                    | 506558-506758                  | ./analysis/phylofiles/450329aaf1b1011ccd7f08a9d76f3571.phy
2038   | JTT+G      | EOG091E00WP                    | 506759-506962                  | ./analysis/phylofiles/7adb718e393107707ff6d656a9562572.phy
2039   | VT+G       | EOG091E005A                    | 506963-507113                  | ./analysis/phylofiles/3dfe756da5c648794e9e92fb85d7747b.phy
2040   | LG+I+G+F   | EOG091E02SE                    | 507114-507352                  | ./analysis/phylofiles/bbf9a93e5161c01f2dbd1ae24e71415e.phy
2041   | LG+G       | EOG091E01SA                    | 507353-507583                  | ./analysis/phylofiles/af774f1602ad61832f3089dc19673739.phy
2042   | LG+I+G+F   | EOG091E0108                    | 507584-508070                  | ./analysis/phylofiles/05cbefbf504ec9ca23b1d52675e1d5cc.phy
2043   | JTT+G+F    | EOG091E02GC                    | 508071-508332                  | ./analysis/phylofiles/7a0ce81f18bcecd8de55e01bf5deec12.phy
2044   | JTT+G+F    | EOG091E01M5                    | 508333-508656                  | ./analysis/phylofiles/2eb61aae6ff86ae196ff9b1c0359fe94.phy
2045   | JTT+I+G    | EOG091E031F                    | 508657-508817                  | ./analysis/phylofiles/5f904a220628dca7cca7b05d61986690.phy
2046   | LG+I+G     | EOG091E03VM                    | 508818-508932                  | ./analysis/phylofiles/3871fed473eb273887e23071e8ca995c.phy
2047   | LG+I+G+F   | EOG091E048O                    | 508933-509455                  | ./analysis/phylofiles/c6cf0b3c6a1633abf09688f5faaac518.phy
2048   | LG+I+G     | EOG091E03U7                    | 509456-509562                  | ./analysis/phylofiles/aa2a9dce8759c063a8a559a8a54bcc9a.phy
2049   | LG+I+G+F   | EOG091E02VP                    | 509563-509720                  | ./analysis/phylofiles/9b8fdc7b5ecff7b266d5fb0665f043d5.phy
2050   | LG+G       | EOG091E01FP                    | 509721-510015                  | ./analysis/phylofiles/f9a8d970734bbce9f05be4961e7faad8.phy
